car_id,engine_cc,mileage_kmpl,fuel_type,transmission
C001,,,Petrol,
C002,,,Petrol,Manual
C003,,,CNG,
C004,,,,
C005,,,CNG,Automatic
C006,,,Petrol,
C007,,,,
C008,,,,Manual
C009,1237,10.5,CNG,Automatic
C010,,,Petrol,
C011,1155,10.6,Petrol,
C012,,,,Manual
C013,2931,15.3,Petrol,Manual
C014,,,,Manual
C015,,,Diesel,
C016,,,,
C017,1525,25.4,,
C018,1184,16.3,Petrol,Manual
C019,,,Diesel,Manual
C020,1959,25.4,,
C021,2384,27.4,CNG,Manual
C022,,,,
C023,,,Petrol,Automatic
C024,1087,28.3,,
C025,2514,24.4,Diesel,
C026,,,CNG,Manual
C027,,,Diesel,Automatic
C028,,,,Automatic
C029,,,Diesel,Automatic
C030,2186,8.3,,Manual
C031,1637,24.5,,Automatic
C032,,,CNG,
C033,1227,18.3,,Automatic
C034,1585,10.8,,Automatic
C035,2265,7.8,CNG,Manual
C036,,,,Automatic
C037,,,Petrol,
C038,,,CNG,
C039,,,Diesel,Automatic
C040,,,,
C041,,,,
C042,,,Petrol,
C043,,,,Automatic
C044,2258,19.6,CNG,
C045,2162,13.3,Petrol,Manual
C046,,,,Automatic
C047,2240,14.4,,
C048,,,Petrol,Manual
C049,,,,Manual
C050,,,CNG,
C051,,,CNG,Automatic
C052,,,,
C053,,,Diesel,
C054,,,,
C055,,,CNG,
C056,,,,
C057,,,Diesel,
C058,,,,
C059,,,CNG,Automatic
C060,,,CNG,Automatic
C061,1936,18.2,,Automatic
C062,,,Petrol,Automatic
C063,2708,26.6,,Automatic
C064,2079,22.5,,Automatic
C065,1939,27.8,,Automatic
C066,,,Petrol,Automatic
C067,2041,22.4,,Automatic
C068,,,Diesel,
C069,,,Petrol,Manual
C070,,,,Manual
C071,,,Diesel,Automatic
C072,1574,27.6,,
C073,,,CNG,Manual
C074,,,Diesel,Automatic
C075,,,CNG,
C076,,,CNG,Automatic
C077,,,Diesel,Manual
C078,,,,Automatic
C079,1998,15.8,,
C080,,,,Automatic
C081,,,CNG,
C082,,,Diesel,
C083,,,,
C084,,,,Manual
C085,,,,Automatic
C086,1780,13.8,CNG,Automatic
C087,,,CNG,
C088,,,Diesel,
C089,,,Diesel,
C090,,,,
C091,,,,
C092,,,Diesel,Automatic
C093,1881,14.4,Diesel,Manual
C094,,,Diesel,Automatic
C095,,,CNG,
C096,1605,13.2,,
C097,,,CNG,
C098,2344,12.9,Diesel,
C099,,,Petrol,
C100,913,22.7,Diesel,Automatic
C101,,,CNG,Manual
C102,,,,
C103,2980,16.6,,
C104,,,,Manual
C105,,,CNG,Manual
C106,,,,
C107,,,Diesel,
C108,886,17.3,Petrol,Manual
C109,,,Petrol,Automatic
C110,,,,
C111,1613,12.2,CNG,Manual
C112,,,Petrol,Automatic
C113,,,Diesel,Automatic
C114,2995,9.2,Petrol,Automatic
C115,,,,
C116,,,Petrol,Automatic
C117,,,CNG,Manual
C118,1950,11.1,Diesel,
C119,,,Petrol,Manual
C120,,,CNG,Automatic
C121,,,Diesel,Automatic
C122,,,,
C123,1566,13.6,,
C124,1199,17.9,Petrol,
C125,2222,27.7,CNG,
C126,,,CNG,
C127,,,Petrol,
C128,970,12.2,,Automatic
C129,873,20.1,Diesel,Manual
C130,,,Diesel,
C131,,,,
C132,,,Petrol,
C133,,,,
C134,,,Diesel,
C135,,,CNG,Manual
C136,,,Diesel,
C137,,,,Manual
C138,1557,9.5,Petrol,Manual
C139,2140,26.1,,Automatic
C140,,,,
C141,,,,Manual
C142,,,Diesel,
C143,,,Petrol,
C144,,,CNG,Automatic
C145,,,Diesel,
C146,,,CNG,Manual
C147,,,Petrol,
C148,,,Diesel,
C149,,,,
C150,,,CNG,Automatic
C151,2990,9.0,,
C152,,,Petrol,Manual
C153,,,Diesel,Manual
C154,,,,Automatic
C155,,,,
C156,,,,Manual
C157,1025,20.1,Petrol,Manual
C158,,,CNG,
C159,,,CNG,Manual
C160,,,,
C161,1666,26.8,Petrol,
C162,,,CNG,
C163,,,,Manual
C164,2737,22.9,,Automatic
C165,1673,13.6,,Automatic
C166,,,,Automatic
C167,,,Diesel,Manual
C168,,,CNG,
C169,,,CNG,
C170,,,,
C171,,,Diesel,Automatic
C172,,,,
C173,2472,16.7,,Automatic
C174,,,Diesel,
C175,,,,Manual
C176,,,,
C177,,,,
C178,2896,11.9,,Manual
C179,,,Petrol,Automatic
C180,,,Petrol,Automatic
C181,,,Diesel,Manual
C182,,,Diesel,Automatic
C183,,,,Manual
C184,1009,9.9,Petrol,Manual
C185,985,9.3,CNG,
C186,,,Diesel,Manual
C187,2459,8.7,Petrol,
C188,,,,Manual
C189,,,Diesel,Automatic
C190,2083,15.0,,
C191,992,15.6,Petrol,Automatic
