batting_avg,strike_rate,centuries,matches_played,selected
47.86,70.74,8,214,1
10.22,166.62,20,164,1
28.14,145.58,26,63,1
54.22,114.95,28,158,1
21.56,123.7,28,56,1
18.35,153.83,23,272,1
43.24,175.32,18,49,1
54.75,103.85,21,255,1
56.95,135.45,30,67,1
12.23,127.88,25,249,1
33.95,155.8,22,152,1
46.53,131.34,23,107,1
41.22,75.6,23,197,1
38.74,118.95,4,144,0
21.38,104.12,17,12,0
25.75,177.78,10,99,1
29.32,149.74,10,113,1
40.84,73.94,16,178,1
29.96,131.8,13,193,1
26.81,179.91,8,36,0
21.54,160.86,4,84,0
16.81,73.66,26,288,1
39.73,122.54,0,103,0
22.41,81.93,13,91,0
34.62,157.48,10,259,1
38.63,168.91,18,234,1
36.6,73.64,6,28,0
24.59,102.22,7,60,0
32.85,141.21,10,214,1
23.6,110.07,1,288,0
50.21,143.98,23,153,1
16.42,108.35,27,109,1
47.6,120.91,22,58,1
28.34,83.5,23,29,1
15.63,71.49,11,75,0
34.83,157.6,30,123,1
27.93,167.53,13,130,1
44.93,167.04,28,31,1
58.75,75.55,22,274,1
28.01,179.54,1,153,0
58.52,146.94,16,20,1
24.59,116.87,20,189,1
57.0,90.72,20,5,1
53.48,91.29,13,190,1
13.81,173.59,22,36,1
31.62,76.79,26,277,1
31.62,164.67,28,103,1
57.53,84.99,30,45,1
34.3,126.4,26,186,1
26.13,175.04,21,178,1
46.94,98.14,9,262,1
21.49,113.84,26,257,1
25.38,141.78,15,2,0
59.76,137.0,19,126,1
29.37,168.33,1,152,0
56.88,129.48,4,214,1
51.1,98.61,24,133,1
47.52,92.72,29,188,1
32.12,83.27,19,93,1
53.02,91.3,10,245,1
51.19,153.61,27,1,1
28.82,92.62,12,36,0
11.94,133.36,26,28,1
49.92,126.36,26,247,1
34.41,115.21,4,7,0
30.37,150.6,26,248,1
12.86,149.86,21,135,1
42.38,73.17,12,73,1
30.76,101.01,3,148,0
18.2,156.29,30,71,1
29.81,98.95,16,280,1
41.51,64.16,26,110,1
18.16,164.55,20,127,1
11.72,166.19,4,120,0
32.84,166.23,12,281,1
16.35,98.6,8,286,0
53.42,89.6,22,14,1
11.76,156.55,29,19,1
16.41,121.43,23,122,1
14.34,178.19,19,155,1
12.67,62.7,21,102,0
56.13,97.35,0,66,0
49.43,149.28,18,40,1
18.6,102.16,28,7,1
34.33,146.32,24,4,1
49.05,126.59,27,202,1
23.39,65.3,16,206,1
57.91,93.89,15,66,1
24.09,149.7,9,53,0
15.26,120.59,20,233,1
24.85,116.01,1,291,0
34.92,164.21,13,199,1
49.28,146.81,30,37,1
37.53,134.58,21,84,1
58.79,164.9,11,279,1
50.77,82.4,11,67,1
42.8,139.21,16,49,1
45.85,71.73,18,188,1
11.16,116.81,12,102,0
27.47,90.88,12,289,1
41.31,149.68,20,192,1
16.91,81.94,11,218,0
53.64,168.82,27,224,1
49.96,164.46,2,52,0
20.76,124.3,28,16,1
55.09,158.94,15,134,1
42.14,158.02,9,175,1
16.72,126.79,19,262,1
58.68,88.04,7,241,1
46.65,88.35,21,194,1
55.2,77.91,4,19,0
40.77,161.89,28,275,1
47.16,67.62,1,206,0
37.01,115.58,25,82,1
18.86,79.91,5,13,0
34.64,102.24,5,27,0
45.7,163.15,12,247,1
53.87,132.13,7,110,1
10.22,99.89,1,104,0
56.72,101.36,20,93,1
59.07,104.78,15,245,1
22.4,143.03,25,281,1
53.19,163.71,25,240,1
