age,income,product_category,purchased
51,1363669,Electronics,1
56,311757,Clothing,0
46,1152676,Clothing,0
64,981401,Clothing,0
65,987463,Groceries,0
54,285020,Groceries,0
65,673527,Clothing,0
38,229165,Groceries,0
30,1292392,Clothing,0
47,140349,Groceries,0
35,342589,Electronics,0
28,1373099,Groceries,0
34,385219,Furniture,0
61,1432815,Clothing,0
35,660307,Groceries,0
37,146582,Groceries,0
57,613836,Groceries,0
51,876865,Clothing,0
35,1208981,Clothing,0
24,292285,Groceries,0
35,583272,Clothing,0
32,103599,Groceries,0
35,1083716,Groceries,0
23,955224,Clothing,1
32,974701,Electronics,1
57,347979,Clothing,0
43,324973,Electronics,0
34,1137644,Clothing,0
63,1264301,Clothing,0
43,627300,Electronics,0
61,252821,Electronics,0
41,1408630,Furniture,1
64,1296665,Clothing,0
33,136650,Electronics,0
20,959649,Clothing,1
56,1250929,Electronics,1
18,997010,Clothing,1
53,1261453,Groceries,0
50,1006146,Electronics,1
25,893872,Furniture,1
57,130418,Electronics,0
35,1038374,Furniture,1
64,561935,Groceries,0
54,586678,Electronics,0
27,485914,Clothing,1
36,356001,Clothing,0
44,275774,Furniture,0
49,996603,Groceries,0
53,855589,Clothing,0
19,1337829,Groceries,0
28,1315488,Furniture,1
61,913007,Groceries,0
59,1428047,Clothing,0
23,789866,Furniture,1
47,988748,Groceries,0
27,1030450,Electronics,1
20,516588,Groceries,0
49,969033,Clothing,0
34,219447,Groceries,0
32,762619,Electronics,0
42,876506,Electronics,1
59,284955,Electronics,0
37,1280909,Groceries,0
59,358893,Furniture,0
58,386612,Groceries,0
63,232112,Electronics,0
60,375893,Furniture,0
55,754356,Clothing,0
45,512682,Groceries,0
51,632549,Groceries,0
46,749239,Electronics,0
23,1426395,Clothing,1
49,327312,Furniture,0
60,296934,Clothing,0
18,1307227,Groceries,0
46,338412,Electronics,0
52,1312980,Clothing,0
27,328623,Furniture,0
51,724242,Groceries,0
60,1042723,Groceries,0
60,645437,Electronics,0
40,373980,Electronics,0
18,398142,Groceries,0
59,508675,Clothing,0
41,665160,Clothing,0
49,989221,Clothing,0
59,1162205,Clothing,0
33,1365861,Electronics,1
38,413138,Clothing,0
41,1199705,Groceries,0
19,1144950,Clothing,1
30,731738,Furniture,1
50,494960,Electronics,0
41,505268,Electronics,0
22,1356614,Furniture,1
54,188991,Groceries,0
49,858678,Furniture,1
60,506282,Clothing,0
54,597915,Clothing,0
60,1242472,Furniture,1
59,1099516,Groceries,0
33,189805,Clothing,0
30,1409847,Electronics,1
18,767666,Furniture,1
56,1483913,Electronics,1
22,881840,Electronics,1
39,700113,Furniture,1
39,741837,Furniture,1
44,1285548,Furniture,1
32,1376063,Furniture,1
40,200569,Electronics,0
38,479546,Clothing,0
26,617521,Clothing,1
49,1378477,Electronics,1
48,172404,Groceries,0
44,594683,Furniture,1
47,555207,Electronics,0
57,997346,Furniture,1
55,1383493,Furniture,1
26,1397802,Groceries,0
58,543020,Electronics,0
47,1094273,Clothing,0
26,1165045,Clothing,1
19,354515,Groceries,0
50,544858,Groceries,0
62,1222035,Clothing,0
36,1153163,Furniture,1
26,1105908,Groceries,0
35,1085814,Furniture,1
52,1252772,Groceries,0
52,1314572,Groceries,0
36,1421012,Electronics,1
21,433926,Electronics,0
53,210942,Groceries,0
43,223784,Clothing,0
27,646622,Furniture,1
42,291276,Clothing,0
57,503412,Furniture,1
64,1156226,Furniture,1
47,831456,Clothing,0
47,571736,Clothing,0
46,1138759,Furniture,1
40,564764,Groceries,0
49,985132,Furniture,1
50,1077802,Groceries,0
39,795111,Clothing,0
47,1288235,Furniture,1
57,666614,Clothing,0
33,1129624,Groceries,0
30,755066,Groceries,0
20,320439,Groceries,0
20,732917,Electronics,0
20,592107,Clothing,1
23,1292116,Groceries,0
31,730890,Electronics,0
32,948256,Furniture,1
41,278303,Groceries,0
39,1220018,Furniture,1
28,390672,Clothing,1
64,828329,Furniture,1
37,976073,Groceries,0
58,1209655,Furniture,1
61,311392,Electronics,0
18,216938,Furniture,0
21,149033,Groceries,0
63,747994,Clothing,0
22,538011,Furniture,1
47,1296990,Groceries,0
35,600230,Furniture,1
60,256178,Clothing,0
58,789454,Clothing,0
52,212720,Groceries,0
28,1157937,Electronics,1
48,1190338,Clothing,0
51,1089971,Electronics,1
57,762836,Clothing,0
52,194895,Clothing,0
53,765309,Furniture,1
40,954395,Clothing,0
56,287769,Furniture,0
62,1262590,Clothing,0
38,285654,Clothing,0
45,944764,Groceries,0
42,182765,Furniture,0
32,855722,Furniture,1
58,1259951,Electronics,1
43,780578,Furniture,1
35,113953,Clothing,0
34,511210,Electronics,0
65,1053625,Groceries,0
54,702416,Clothing,0
38,1071572,Clothing,0
35,714163,Clothing,0
63,528070,Clothing,0
46,1083653,Furniture,1
62,807864,Clothing,0
20,674689,Electronics,0
39,478750,Electronics,0
59,792086,Groceries,0
21,179490,Furniture,0
20,485390,Clothing,1
63,594252,Furniture,1
49,313871,Electronics,0
26,334435,Clothing,1
55,150052,Furniture,0
25,305177,Electronics,0
21,731676,Groceries,0
44,639042,Groceries,0
43,1179271,Furniture,1
48,405938,Clothing,0
35,608651,Clothing,0
43,241743,Electronics,0
21,964711,Electronics,1
18,137151,Electronics,0
51,157071,Clothing,0
65,1322626,Furniture,1
20,551977,Electronics,0
25,396280,Electronics,0
37,550039,Clothing,0
30,773638,Clothing,0
38,131378,Electronics,0
19,671401,Furniture,1
35,281352,Furniture,0
60,220917,Clothing,0
34,596057,Clothing,0
38,311450,Furniture,0
37,152606,Furniture,0
19,1225417,Groceries,0
44,800809,Electronics,1
42,426793,Groceries,0
54,1465422,Clothing,0
62,272790,Clothing,0
24,530103,Furniture,1
37,262288,Electronics,0
42,537312,Clothing,0
27,1043448,Clothing,1
55,932889,Electronics,1
39,1313661,Electronics,1
21,619087,Clothing,1
59,648363,Groceries,0
43,1137356,Groceries,0
36,678119,Electronics,0
18,1462122,Furniture,1
45,1108836,Groceries,0
53,773721,Clothing,0
29,1261202,Electronics,1
24,342660,Groceries,0
51,679262,Groceries,0
28,1134037,Clothing,1
20,1425534,Electronics,1
20,1377453,Furniture,1
31,1403829,Electronics,1
20,1452539,Furniture,1
