product_id,price,avg_rating,return_rate
P0001,6384,2.3,0.22
P0002,4522,3.7,0.09
P0003,8685,1.6,0.1
P0004,36403,4.8,0.04
P0005,13494,4.6,0.04
P0006,4119,3.0,0.15
P0007,18560,4.5,0.04
P0008,40557,4.8,0.01
P0009,4177,2.3,0.26
P0010,51057,4.2,0.03
P0011,17184,4.5,0.04
P0012,3735,3.9,0.17
P0013,3313,3.7,0.06
P0014,11183,3.7,0.04
P0015,19968,4.7,0.09
P0016,4922,3.1,0.19
P0017,35804,4.7,0.03
P0018,62374,4.7,0.05
P0019,7114,2.1,0.21
P0020,4532,3.8,0.14
P0021,1406,3.4,0.17
P0022,665,3.3,0.11
P0023,17907,3.7,0.02
P0024,1888,3.6,0.15
P0025,87834,4.1,0.01
P0026,4120,2.8,0.09
P0027,8058,1.7,0.25
P0028,8917,4.5,0.04
P0029,32339,4.1,0.05
P0030,31455,4.6,0.04
P0031,1380,3.5,0.06
P0032,3076,3.0,0.12
P0033,52005,4.1,0.01
P0034,14103,4.4,0.09
P0035,29938,5.0,0.04
P0036,49972,4.4,0.03
P0037,44955,4.3,0.02
P0038,16551,4.5,0.06
P0039,7130,4.3,0.07
P0040,12162,3.8,0.06
P0041,15117,4.8,0.04
P0042,612,2.7,0.13
P0043,5603,2.4,0.2
P0044,4004,3.9,0.07
P0045,6243,1.6,0.11
P0046,5369,3.9,0.04
P0047,99408,4.8,0.03
P0048,13244,3.8,0.03
P0049,3702,3.9,0.18
P0050,3340,3.2,0.09
P0051,2923,3.6,0.12
P0052,2117,2.5,0.1
P0053,3741,3.1,0.2
P0054,2904,2.9,0.18
P0055,3180,2.8,0.13
P0056,96013,4.7,0.03
P0057,1338,1.8,0.26
P0058,17999,4.5,0.08
P0059,1072,3.2,0.12
P0060,3762,2.1,0.23
P0061,3237,1.4,0.18
P0062,2085,2.7,0.15
P0063,1780,3.4,0.13
P0064,46173,4.2,0.02
P0065,39647,4.8,0.02
P0066,2234,2.8,0.13
P0067,3162,1.9,0.24
P0068,8932,1.1,0.13
P0069,5288,3.8,0.08
P0070,81426,4.2,0.04
P0071,1733,1.3,0.28
P0072,7274,3.6,0.03
P0073,5881,1.4,0.23
P0074,2658,2.9,0.11
P0075,3460,3.0,0.18
P0076,3991,3.9,0.2
P0077,6044,2.0,0.11
P0078,2106,2.9,0.26
P0079,5031,1.9,0.13
P0080,13311,4.2,0.08
P0081,70183,4.8,0.02
P0082,7002,3.6,0.09
P0083,4109,2.2,0.29
P0084,3146,3.1,0.2
P0085,633,3.2,0.14
P0086,75686,4.0,0.03
P0087,3706,2.9,0.14
P0088,9022,1.6,0.26
P0089,4732,3.4,0.17
P0090,15052,3.6,0.07
P0091,754,3.1,0.08
P0092,2212,1.4,0.29
P0093,8087,1.5,0.14
P0094,4928,3.3,0.1
P0095,4737,1.4,0.18
P0096,3994,2.7,0.08
P0097,86097,4.6,0.02
P0098,6663,4.2,0.07
P0099,40876,4.3,0.03
P0100,7451,1.5,0.26
P0101,3996,2.6,0.29
P0102,4261,3.2,0.16
P0103,16475,3.5,0.05
P0104,15295,3.8,0.08
P0105,11150,4.5,0.07
P0106,19845,3.8,0.05
P0107,87700,4.4,0.01
P0108,52113,4.6,0.01
P0109,4491,2.0,0.11
P0110,88688,4.7,0.02
P0111,8340,2.4,0.19
P0112,3272,2.5,0.28
P0113,2804,1.4,0.12
P0114,6513,4.5,0.03
P0115,1914,2.7,0.05
P0116,3424,1.8,0.29
P0117,7639,2.3,0.2
P0118,8597,3.7,0.03
P0119,11257,3.5,0.1
P0120,30253,5.0,0.03
P0121,4475,1.3,0.25
P0122,12054,3.6,0.04
P0123,14810,4.3,0.1
P0124,13975,3.7,0.08
P0125,8034,4.1,0.02
P0126,1064,3.3,0.19
P0127,3040,2.9,0.1
P0128,4158,3.9,0.15
P0129,5281,3.9,0.09
P0130,3536,3.0,0.17
P0131,1087,1.7,0.28
P0132,8446,4.2,0.05
P0133,13629,4.4,0.1
P0134,7067,1.9,0.23
P0135,1927,3.3,0.05
P0136,11942,4.0,0.06
P0137,6640,2.6,0.26
P0138,662,2.6,0.07
P0139,60753,4.2,0.02
P0140,2656,2.9,0.07
P0141,3832,3.1,0.09
P0142,2720,3.7,0.09
P0143,26935,4.4,0.02
P0144,42839,4.8,0.04
P0145,77743,4.0,0.04
P0146,6775,1.7,0.29
P0147,3627,3.8,0.19
P0148,61023,4.1,0.04
P0149,1084,2.9,0.12
P0150,13378,4.0,0.04
P0151,16123,4.2,0.05
P0152,2827,1.1,0.19
P0153,16916,4.2,0.05
P0154,3531,2.5,0.25
P0155,7147,2.3,0.29
P0156,6686,4.4,0.02
P0157,87964,4.5,0.05
P0158,5855,2.1,0.25
P0159,7819,2.9,0.16
P0160,4419,3.9,0.16
P0161,5509,3.8,0.09
P0162,65804,4.8,0.03
P0163,15813,4.4,0.04
P0164,5451,2.2,0.28
P0165,2973,2.7,0.13
P0166,2142,2.9,0.24
P0167,18921,4.0,0.1
P0168,1455,3.6,0.13
P0169,19859,4.8,0.07
P0170,14616,4.2,0.05
P0171,5005,2.6,0.23
P0172,13533,4.1,0.07
P0173,14927,4.5,0.05
P0174,1637,3.9,0.18
P0175,2330,2.6,0.09
P0176,4165,2.6,0.07
P0177,10247,4.1,0.09
P0178,2479,1.8,0.29
P0179,3014,1.2,0.27
P0180,71980,4.9,0.01
P0181,4316,2.6,0.07
P0182,1001,2.1,0.14
P0183,19301,3.9,0.05
P0184,7246,2.4,0.14
P0185,3431,4.0,0.15
P0186,6274,3.0,0.12
P0187,57947,4.7,0.04
P0188,10358,3.6,0.04
P0189,2718,3.1,0.11
P0190,9717,2.1,0.12
P0191,1377,3.1,0.15
P0192,13071,4.4,0.04
P0193,4248,3.4,0.18
P0194,3849,2.9,0.1
P0195,4039,3.0,0.05
P0196,19386,3.6,0.05
P0197,3165,3.2,0.12
P0198,57231,4.6,0.02
P0199,13619,3.9,0.09
P0200,2665,2.6,0.18
P0201,5060,1.1,0.16
P0202,7331,3.5,0.07
P0203,1032,2.9,0.14
P0204,62021,4.1,0.04
P0205,17512,3.9,0.06
P0206,3141,3.7,0.09
P0207,82432,4.5,0.03
P0208,5684,1.8,0.12
P0209,60531,4.1,0.03
P0210,7383,3.0,0.11
P0211,57451,4.7,0.04
P0212,9771,2.6,0.3
P0213,1328,3.4,0.2
P0214,15785,4.3,0.05
P0215,15714,3.6,0.09
P0216,50012,4.2,0.04
P0217,1304,3.9,0.09
P0218,7658,4.2,0.09
P0219,1713,3.3,0.11
P0220,6934,2.3,0.22
P0221,16719,4.5,0.03
P0222,8759,3.7,0.03
P0223,65508,4.6,0.04
P0224,75597,4.4,0.01
P0225,1470,3.4,0.19
P0226,1110,2.8,0.08
P0227,16275,3.6,0.06
P0228,5431,3.5,0.1
P0229,2320,3.8,0.07
P0230,2180,3.7,0.1
P0231,5424,1.0,0.11
P0232,4703,3.9,0.17
P0233,6146,1.7,0.12
P0234,21289,4.8,0.05
P0235,1803,3.9,0.11
P0236,3404,2.7,0.13
P0237,9707,1.6,0.14
P0238,63401,5.0,0.04
P0239,92106,4.7,0.04
P0240,86713,4.5,0.04
P0241,66282,4.6,0.02
P0242,1577,3.4,0.07
P0243,4529,3.6,0.06
P0244,521,3.7,0.19
P0245,4790,2.7,0.23
P0246,8869,1.7,0.24
P0247,15780,3.9,0.03
P0248,68810,4.1,0.03
P0249,1908,3.5,0.1
P0250,12595,4.8,0.05
P0251,25506,4.8,0.04
P0252,69603,4.0,0.04
P0253,45616,4.2,0.04
P0254,10603,3.7,0.07
P0255,8502,3.0,0.29
P0256,19451,4.8,0.08
P0257,58294,4.2,0.04
P0258,47586,4.8,0.04
P0259,5376,2.7,0.11
P0260,26032,4.5,0.02
P0261,10449,4.3,0.04
P0262,1644,1.2,0.14
P0263,6036,3.7,0.02
P0264,1750,1.4,0.18
P0265,8151,2.3,0.11
P0266,4352,3.3,0.18
P0267,56741,4.8,0.02
P0268,90598,4.4,0.03
P0269,2522,2.7,0.14
P0270,30996,4.7,0.03
P0271,6151,3.0,0.27
P0272,4434,3.5,0.08
P0273,1574,3.7,0.13
P0274,37718,5.0,0.04
P0275,63967,4.1,0.03
P0276,83136,4.0,0.02
P0277,95180,4.2,0.03
P0278,23181,5.0,0.02
P0279,43290,4.2,0.04
P0280,8259,1.1,0.17
P0281,95242,4.3,0.03
P0282,10824,4.7,0.02
P0283,90347,4.4,0.05
P0284,72087,4.6,0.02
P0285,84782,4.3,0.01
P0286,7580,1.3,0.16
P0287,8184,2.7,0.23
P0288,1534,3.0,0.06
P0289,5778,4.4,0.04
P0290,17323,4.2,0.03
P0291,4811,1.7,0.21
P0292,1986,3.3,0.05
P0293,23523,4.6,0.04
P0294,5421,1.8,0.14
P0295,7814,2.2,0.23
P0296,15799,4.3,0.09
P0297,2316,2.8,0.13
P0298,1135,4.0,0.1
P0299,13092,3.6,0.08
P0300,40160,4.6,0.02
P0301,11793,4.1,0.06
P0302,2251,2.6,0.12
P0303,9055,1.1,0.16
P0304,17938,4.7,0.09
P0305,41499,5.0,0.04
P0306,1689,3.2,0.1
P0307,3735,3.1,0.12
P0308,65157,5.0,0.04
P0309,4550,2.1,0.19
P0310,8309,2.2,0.29
