income,credit_score,employment_years,loan_amount
1007883,444,2.3,556960
1557641,562,19.5,1124331
1155159,442,24.6,1015995
1404806,488,29.8,1285436
928607,493,24.8,999121
558673,431,2.7,411288
1562606,578,26.0,1240902
1160267,486,16.8,955247
1886180,580,20.2,1281350
1813881,612,19.1,1199049
414837,355,4.6,388339
779269,787,9.7,817646
1065250,484,4.4,667663
984389,440,15.0,822932
1495870,859,27.4,1460755
1769345,500,26.3,1340867
756094,843,17.1,1024878
979091,684,25.9,1120980
1331018,330,25.9,1053374
450162,368,16.1,618329
1631958,390,16.4,1030501
792328,679,13.7,860354
782177,446,4.5,529125
1753984,519,9.0,937472
1002823,645,28.8,1177431
107883,645,1.7,384304
629770,499,27.4,1031479
530874,659,17.8,807370
1582037,740,17.4,1187971
1928869,475,13.6,1064894
467453,685,29.2,1067272
1491872,761,28.2,1420076
1088496,757,19.1,1102775
731435,482,23.1,911600
1761159,466,9.1,956951
422212,492,23.8,840215
1417133,551,6.0,795501
255282,563,21.6,749007
261482,808,27.8,1011037
981328,715,23.9,1140742
1637298,608,27.6,1371882
373988,743,18.1,868151
135104,675,23.8,884762
803390,624,11.3,750425
1214194,543,29.2,1228371
1574641,835,12.9,1115811
473697,480,3.2,459681
1289816,656,2.9,817002
941755,301,26.3,970406
595522,493,6.4,577347
596605,525,6.3,552853
1023666,411,16.2,825780
1139191,852,14.0,1033350
293649,678,28.5,1012527
1263464,748,18.7,1103381
944713,593,24.2,1028512
391907,608,0.3,431878
717553,852,1.4,655650
240386,463,11.7,582247
206208,478,6.6,405135
1281222,461,9.1,786608
680619,873,3.6,727855
1167233,845,25.4,1239395
195895,337,28.4,761006
723128,716,23.7,1027726
1787408,897,8.4,1145397
1230116,820,12.4,1029725
651841,450,12.7,627446
1049414,518,20.5,953715
990794,796,13.7,928133
1947297,407,27.3,1288946
1765087,481,20.0,1126284
1658049,587,18.6,1183877
1660307,517,6.9,915325
1700974,394,19.2,1084150
448918,762,5.7,612288
1471019,353,3.0,724405
967215,361,0.2,444392
841409,449,24.4,957768
1946890,519,8.3,1042735
1672655,406,7.6,820494
1487973,836,24.7,1308843
805867,551,26.8,1099293
1676676,769,25.9,1359634
1932258,783,9.7,1205364
1618521,302,1.8,624810
837580,575,19.0,966117
512039,381,16.4,640389
1616747,482,19.7,1163487
201972,734,9.8,616311
291919,814,20.6,914098
393013,336,19.4,710521
152489,759,2.7,489995
1922499,613,9.5,1084431
841785,648,2.4,657574
1726805,736,5.5,1015178
1708317,498,24.6,1286323
1820009,525,2.2,820748
667220,809,4.8,728154
1099089,635,5.5,709340
939998,617,20.6,975191
587408,611,9.1,639344
178541,687,23.6,853772
1745311,342,6.6,831924
1392739,552,25.9,1228298
1305862,861,8.8,986558
1744238,717,16.8,1246063
1315349,583,5.9,773145
1147063,459,0.2,533964
1822178,773,20.5,1293264
249568,818,1.8,476923
806411,820,3.7,708046
1651680,427,7.7,868843
155989,489,6.4,410533
434245,822,9.6,731991
658221,659,23.9,1025680
1352697,819,26.5,1335737
1394555,422,6.9,742417
981925,335,29.4,1077889
1183334,700,28.3,1317638
150124,384,19.0,581729
391221,692,8.9,620911
1452108,527,18.4,1087952
986272,627,19.2,980785
210805,411,26.4,809918
1384424,767,16.1,1096095
1303377,636,16.9,1050677
1046041,764,3.1,793824
368700,772,13.3,757643
800591,712,11.7,801449
796249,626,28.2,1087318
905577,749,9.0,796981
1208977,344,2.3,618209
1860058,550,11.3,1107076
109854,821,19.5,790838
1476267,808,1.7,886082
1570742,884,13.7,1164618
152006,728,27.1,947154
1707896,644,27.4,1418186
542757,883,3.9,727644
1112905,716,27.4,1259267
1203311,492,0.2,642083
1375102,851,20.6,1248749
1197677,390,15.9,880636
1797058,328,26.0,1213172
523706,324,7.9,441436
857993,868,23.9,1165545
1163197,682,2.2,724725
513895,344,22.9,746525
664716,641,10.6,740070
1314121,796,17.4,1134926
1912541,383,2.5,824488
1816891,799,21.9,1387613
850446,615,15.6,868659
1346627,457,13.1,879551
925753,655,6.4,776795
1077199,603,14.1,956027
845858,419,23.3,901301
1674863,622,25.3,1364175
729997,620,4.2,628443
289016,482,28.5,897860
141718,445,17.6,569569
