customer_id,age,annual_income,spending_score
C001,40,56377,33
C002,56,34043,29
C003,26,134249,75
C004,57,140613,23
C005,33,87615,68
C006,46,55690,35
C007,24,77050,53
C008,38,54910,13
C009,23,44584,92
C010,42,115998,92
C011,29,32947,89
C012,43,109351,16
C013,32,120264,72
C014,40,70619,25
C015,25,71046,100
C016,46,57266,38
C017,23,45760,62
C018,33,92256,87
C019,39,74030,36
C020,37,138322,26
C021,41,50581,10
C022,26,116029,81
C023,31,26729,76
C024,49,66148,66
C025,42,62580,58
C026,39,130415,72
C027,35,112091,91
C028,23,28879,94
C029,44,31579,25
C030,45,113918,13
C031,49,62833,41
C032,50,49342,11
C033,42,27391,26
C034,60,52389,24
C035,52,101022,24
C036,43,89244,36
C037,46,55271,18
C038,47,45326,55
C039,46,73289,35
C040,32,52396,63
C041,36,106170,34
C042,33,20056,14
C043,45,145657,77
C044,43,70844,69
C045,45,109745,39
C046,20,43624,65
C047,53,124908,24
C048,38,97577,24
C049,41,82794,75
C050,44,97128,92
C051,40,119023,81
C052,52,24236,21
C053,38,57309,19
C054,40,148949,86
C055,24,34731,82
C056,56,70928,32
C057,31,116709,93
C058,26,68824,68
C059,51,71815,27
C060,57,23186,22
C061,58,138736,31
C062,34,54882,20
C063,46,26741,39
C064,47,87131,57
C065,35,148651,39
C066,44,148739,21
C067,28,46221,66
C068,27,40006,66
C069,33,130352,94
C070,32,24010,16
C071,58,39910,11
C072,25,30807,68
C073,20,86824,42
C074,39,104557,94
C075,31,134144,73
C076,39,43799,25
C077,26,132322,84
C078,60,114149,22
C079,53,26371,38
C080,34,46508,53
C081,30,59168,76
C082,45,52196,53
C083,22,40907,65
C084,58,104995,18
C085,30,23175,32
C086,48,123737,12
C087,30,81804,68
C088,56,91021,39
C089,45,87188,78
C090,43,134515,35
C091,28,21120,84
C092,32,53532,10
C093,48,138114,24
C094,44,85351,47
C095,28,51193,70
C096,53,116982,39
C097,33,53174,37
C098,38,28464,24
C099,22,24893,89
C100,51,47293,16
C101,40,118730,32
C102,29,148778,90
C103,39,43545,41
C104,21,29969,76
C105,25,20404,88
C106,55,55243,40
C107,24,54665,89
C108,50,50803,44
C109,35,81238,88
C110,49,76672,22
C111,20,24375,99
C112,23,35591,71
C113,38,147093,20
C114,42,44925,41
C115,31,72069,50
C116,37,73167,85
C117,24,56180,97
C118,32,148259,72
C119,28,69262,48
C120,28,99269,76
C121,44,137233,15
C122,41,83399,86
C123,31,92424,88
C124,47,80540,65
C125,40,20398,23
C126,36,42143,14
C127,28,32897,61
C128,52,95087,37
C129,23,52081,94
C130,32,53776,93
C131,40,102340,28
C132,31,143374,76
C133,25,34953,71
C134,31,55599,58
C135,53,25807,27
C136,32,82905,63
C137,25,140532,98
C138,33,84681,83
C139,35,73569,55
C140,25,34007,70
C141,44,136101,75
C142,29,37494,88
C143,51,131476,32
C144,55,126338,11
C145,18,28340,77
C146,31,90897,77
C147,30,35136,84
C148,49,50072,17
C149,39,51173,19
C150,32,26687,37
C151,35,101694,73
C152,32,55846,36
C153,49,69179,56
C154,30,24224,63
C155,60,120007,40
C156,36,42627,18
C157,36,128087,97
C158,49,129827,15
C159,35,56296,84
C160,25,58452,98
C161,41,147607,94
C162,44,24605,10
C163,19,36340,69
C164,20,22406,70
C165,35,55178,90
C166,23,52836,83
C167,35,129253,81
C168,30,47061,87
C169,51,49419,29
C170,36,34268,16
C171,28,113641,74
C172,47,132345,36
C173,21,20995,100
C174,59,85822,34
C175,53,24440,13
C176,42,127295,91
C177,23,50587,91
C178,57,125104,17
C179,31,76167,88
C180,45,99575,98
C181,52,139976,34
C182,42,119683,74
C183,37,69304,43
C184,22,51243,73
C185,58,122759,33
C186,50,20403,29
C187,42,96814,80
C188,43,44821,64
C189,34,34335,100
C190,39,86921,10
C191,43,89589,59
C192,49,86857,68
C193,34,124941,82
C194,50,56221,15
C195,21,57257,69
C196,34,39395,94
C197,42,46919,63
C198,55,82462,21
C199,38,116325,86
C200,57,37150,36
C201,24,27143,66
C202,31,44896,74
C203,37,46956,18
C204,54,139959,26
C205,57,26350,11
C206,18,32163,96
C207,33,146654,88
C208,33,56387,13
C209,46,51079,38
C210,31,42568,29
C211,42,136026,38
C212,54,52864,19
C213,35,56974,74
C214,18,52788,72
C215,26,72998,59
C216,23,86144,64
C217,42,26048,34
C218,45,126406,13
C219,21,58462,74
C220,36,83497,100
C221,32,46533,83
