user_id,movie_id,genre,rating
U189,M120,Drama,2.7
U079,M017,Drama,3.2
U288,M036,Horror,2.2
U259,M008,Drama,2.6
U261,M041,Sci-Fi,3.3
U016,M020,Action,4.6
U298,M093,Action,2.7
U103,M091,Horror,2.6
U285,M037,Romance,2.8
U266,M026,Romance,3.9
U071,M063,Action,4.4
U182,M089,Drama,3.4
U102,M067,Action,3.7
U163,M016,Romance,3.5
U141,M137,Drama,3.6
U190,M001,Sci-Fi,2.6
U041,M017,Action,4.1
U048,M033,Horror,4.1
U243,M097,Horror,3.5
U222,M049,Romance,3.2
U185,M010,Horror,3.4
U055,M041,Romance,4.0
U250,M060,Horror,3.1
U235,M150,Action,2.9
U073,M069,Horror,3.9
U296,M138,Sci-Fi,2.7
U047,M111,Drama,2.9
U294,M022,Drama,3.8
U183,M053,Horror,3.9
U027,M026,Drama,3.9
U202,M096,Comedy,3.1
U238,M138,Romance,4.3
U180,M075,Comedy,3.6
U176,M077,Drama,4.4
U266,M114,Comedy,2.8
U029,M021,Drama,4.6
U005,M100,Comedy,4.1
U217,M105,Romance,4.4
U062,M050,Comedy,3.1
U243,M118,Comedy,2.8
U080,M054,Action,4.8
U011,M042,Comedy,3.0
U277,M019,Horror,4.8
U176,M082,Comedy,3.7
U141,M072,Comedy,4.2
U222,M030,Horror,4.5
U106,M043,Sci-Fi,3.3
U175,M024,Horror,2.8
U266,M103,Sci-Fi,2.4
U118,M098,Horror,3.3
U039,M081,Action,3.3
U019,M105,Action,3.7
U028,M042,Comedy,3.5
U280,M003,Drama,3.5
U111,M098,Horror,4.5
U254,M115,Action,3.2
U113,M043,Horror,3.4
U189,M126,Action,3.5
U024,M104,Drama,2.5
U280,M115,Romance,3.4
U077,M143,Action,2.9
U179,M093,Sci-Fi,2.0
U157,M047,Horror,3.4
U249,M110,Comedy,2.7
U217,M101,Sci-Fi,2.8
U016,M040,Romance,4.9
U287,M061,Action,5
U016,M106,Horror,3.6
U201,M130,Horror,2.9
U197,M076,Horror,2.7
U126,M137,Comedy,4.4
U206,M126,Horror,4.5
U109,M034,Drama,3.2
U287,M090,Sci-Fi,3.7
U106,M146,Comedy,3.1
U275,M002,Sci-Fi,3.0
U177,M096,Romance,3.6
U207,M106,Drama,2.8
U169,M136,Action,4.5
U072,M106,Comedy,4.3
U076,M014,Romance,3.9
U105,M051,Romance,2.9
U127,M029,Horror,5
U010,M129,Horror,4.5
U277,M046,Action,4.4
U072,M029,Drama,3.3
U073,M140,Comedy,2.5
U201,M010,Romance,4.1
U221,M053,Comedy,2.9
U004,M048,Action,3.7
U105,M012,Horror,3.0
U136,M145,Horror,4.0
U256,M048,Comedy,3.6
U247,M087,Drama,5
U044,M110,Horror,3.0
U078,M041,Romance,3.9
U082,M070,Horror,2.3
U233,M055,Romance,2.9
U057,M015,Romance,3.2
U069,M131,Comedy,4.3
U144,M063,Sci-Fi,3.8
U295,M013,Drama,4.3
U284,M029,Comedy,4.1
U293,M063,Horror,3.1
U282,M048,Horror,3.6
U097,M049,Sci-Fi,3.6
U207,M135,Sci-Fi,2.5
U242,M134,Horror,3.4
U202,M064,Drama,3.8
U226,M090,Comedy,4.6
U031,M105,Comedy,3.6
U146,M017,Drama,3.9
U080,M102,Horror,3.7
U207,M144,Sci-Fi,4.0
U243,M118,Horror,3.2
U141,M144,Drama,3.0
U198,M078,Comedy,3.3
U147,M047,Action,3.4
U186,M102,Drama,4.1
U199,M120,Action,3.6
U298,M073,Romance,2.0
U115,M105,Horror,3.5
U223,M042,Action,4.3
U137,M145,Comedy,3.3
U075,M086,Drama,4.0
U195,M105,Comedy,2.2
U208,M047,Horror,2.9
U097,M070,Action,3.0
U009,M138,Horror,3.4
U262,M054,Comedy,3.2
U008,M090,Horror,3.6
U140,M079,Horror,3.5
U160,M059,Romance,3.2
U242,M093,Comedy,3.2
U291,M011,Comedy,3.7
U081,M011,Comedy,3.0
U268,M069,Sci-Fi,4.1
U005,M126,Action,3.8
U223,M018,Action,2.0
U166,M107,Action,3.4
U077,M029,Horror,3.9
U056,M075,Action,4.3
U135,M033,Action,3.8
U088,M126,Sci-Fi,3.8
U205,M081,Horror,3.4
U296,M148,Comedy,4.7
U248,M049,Comedy,3.9
U163,M102,Action,5
U199,M040,Comedy,2.2
U207,M110,Sci-Fi,4.9
U225,M134,Drama,4.0
U165,M116,Romance,4.3
U248,M128,Sci-Fi,3.7
U265,M097,Horror,4.1
U097,M122,Comedy,4.7
U026,M125,Romance,2.2
U171,M144,Horror,4.8
U264,M044,Action,4.2
U300,M118,Action,3.2
U107,M124,Romance,2.5
U111,M056,Sci-Fi,2.7
U042,M083,Comedy,2.4
U118,M135,Drama,3.1
U118,M140,Drama,1.9
U165,M074,Drama,3.4
U280,M131,Romance,3.4
U215,M075,Comedy,3.2
U132,M143,Romance,3.2
U125,M042,Comedy,3.7
U145,M076,Romance,3.0
U211,M026,Drama,3.9
U104,M096,Romance,3.0
U108,M054,Horror,3.7
U041,M118,Sci-Fi,2.4
U132,M126,Action,3.8
U119,M054,Horror,2.6
U086,M093,Sci-Fi,4.8
U065,M116,Comedy,3.6
U019,M080,Sci-Fi,3.0
U015,M002,Romance,4.3
U142,M012,Romance,3.9
U226,M082,Comedy,4.2
U052,M055,Romance,2.2
U206,M120,Horror,4.2
U249,M109,Sci-Fi,4.3
U281,M103,Drama,3.5
U104,M033,Horror,3.1
U231,M049,Romance,3.8
U063,M051,Romance,3.3
U106,M111,Comedy,3.5
U264,M056,Romance,3.7
U158,M140,Sci-Fi,4.4
U030,M090,Horror,3.1
U122,M134,Sci-Fi,3.5
U180,M013,Horror,2.3
U048,M041,Sci-Fi,3.0
U153,M060,Romance,4.1
U103,M075,Drama,3.9
U112,M138,Drama,4.4
U120,M056,Drama,3.7
U268,M017,Action,3.9
U043,M059,Action,2.8
U242,M135,Comedy,3.0
U207,M068,Drama,3.3
U016,M090,Comedy,3.1
U131,M095,Comedy,3.0
U071,M058,Romance,3.7
U260,M068,Romance,2.8
U207,M098,Sci-Fi,3.0
U164,M149,Sci-Fi,2.0
U152,M057,Romance,3.1
U277,M123,Comedy,3.8
U072,M033,Action,4.1
U173,M124,Action,3.7
U183,M022,Horror,3.4
U024,M112,Sci-Fi,2.5
U016,M043,Horror,4.7
U205,M075,Action,3.0
U274,M093,Action,3.6
U179,M098,Romance,2.5
U234,M119,Horror,4.7
U113,M121,Romance,2.6
U235,M104,Drama,2.9
U280,M107,Romance,4.4
U192,M092,Sci-Fi,3.0
U003,M057,Action,2.6
U204,M067,Sci-Fi,4.1
U241,M139,Horror,4.3
U241,M102,Horror,3.5
U171,M068,Romance,2.7
U213,M136,Romance,3.9
U190,M149,Horror,3.2
U163,M118,Comedy,2.3
U229,M047,Drama,3.8
U254,M078,Horror,4.3
U078,M076,Drama,3.7
U128,M059,Horror,2.3
U164,M018,Sci-Fi,2.9
U060,M122,Drama,3.8
U104,M045,Drama,4.0
U186,M144,Horror,2.4
U159,M062,Horror,4.4
U190,M074,Horror,4.1
U045,M111,Horror,2.0
U243,M066,Romance,4.4
U142,M077,Action,3.7
U077,M051,Comedy,4.3
U251,M075,Romance,3.5
