cap_shape,cap_color,odor,gill_color,class
Bell,Yellow,Foul,Gray,Poisonous
Knobbed,Red,None,White,Poisonous
Knobbed,Red,None,Gray,Poisonous
Flat,Red,Almond,Black,Edible
Bell,Brown,Almond,Gray,Edible
Bell,Brown,Almond,White,Edible
Flat,Yellow,None,White,Edible
Bell,Red,Almond,White,Edible
Knobbed,Brown,Almond,White,Edible
Conical,Brown,None,Black,Edible
Flat,Yellow,None,White,Edible
Flat,Red,None,Brown,Poisonous
Knobbed,Yellow,Almond,Black,Edible
Conical,Red,Almond,White,Edible
Knobbed,Brown,Foul,White,Poisonous
Conical,Brown,Foul,Brown,Poisonous
Knobbed,Yellow,None,White,Edible
Bell,Red,Almond,Gray,Edible
Conical,Brown,Foul,Brown,Poisonous
Flat,Red,Almond,Black,Edible
Bell,Red,Almond,Black,Edible
Conical,White,Almond,White,Edible
Knobbed,Yellow,Foul,White,Poisonous
Conical,Brown,Almond,Brown,Edible
Bell,White,Foul,White,Poisonous
Bell,Yellow,Foul,Gray,Poisonous
Conical,Red,Foul,Black,Poisonous
Conical,White,Almond,White,Edible
Knobbed,Yellow,Foul,Gray,Poisonous
Bell,White,Almond,Black,Edible
Flat,White,Almond,Black,Edible
Conical,Red,Almond,White,Edible
Bell,Yellow,None,Black,Edible
Flat,White,None,Brown,Edible
Conical,Brown,Foul,Black,Poisonous
Knobbed,Brown,None,Brown,Edible
Flat,White,Foul,White,Poisonous
Conical,Yellow,None,Brown,Edible
Flat,White,Almond,Black,Edible
Bell,Yellow,Foul,Brown,Poisonous
Flat,Brown,None,Black,Edible
Conical,Red,None,Brown,Poisonous
Conical,Red,None,Black,Poisonous
Knobbed,Red,None,Black,Poisonous
Conical,Red,Almond,Gray,Edible
Knobbed,White,None,Black,Edible
Flat,Yellow,Almond,Gray,Edible
Bell,Yellow,Foul,Brown,Poisonous
Flat,White,Almond,Gray,Edible
Knobbed,White,Almond,Black,Edible
Bell,Yellow,None,Brown,Edible
Flat,Red,Almond,Gray,Edible
Knobbed,Brown,None,Black,Edible
Conical,White,Almond,White,Edible
