article_id,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20
A0001,0.217,0.948,0.163,0.113,0.088,0.705,0.578,0.368,0.211,0.9,0.239,0.636,0.903,0.311,0.515,0.57,0.418,0.024,0.294,0.096
A0002,0.661,0.923,0.506,0.465,0.225,0.318,0.126,0.447,0.859,0.235,0.978,0.877,0.286,0.081,0.255,0.231,0.183,0.621,0.983,0.135
A0003,0.199,0.301,0.488,0.448,0.611,0.136,0.423,0.088,0.122,0.836,0.764,0.912,0.078,0.805,0.266,0.008,0.313,0.11,0.351,0.771
A0004,0.013,0.61,0.16,0.341,0.548,0.848,0.393,0.051,0.049,0.281,0.787,0.525,0.105,0.399,0.515,0.702,0.329,0.873,0.724,0.63
A0005,0.5,0.512,0.712,0.306,0.407,0.438,0.649,0.906,0.881,0.322,0.061,0.043,0.893,0.642,0.053,0.486,0.045,0.232,0.313,0.668
A0006,0.542,0.798,0.398,0.218,0.085,0.938,0.344,0.479,0.252,0.251,0.423,0.781,0.719,0.366,0.118,0.258,0.073,0.052,0.224,0.72
A0007,0.934,0.548,0.21,0.981,0.909,0.535,0.552,0.997,0.252,0.381,0.27,0.691,0.136,0.543,0.377,0.024,0.181,0.149,0.917,0.133
A0008,0.803,0.03,0.774,0.609,0.293,0.742,0.175,0.855,0.069,0.464,0.586,0.09,0.602,0.475,0.169,0.63,0.433,0.166,0.606,0.948
A0009,0.9,0.721,0.255,0.667,0.618,0.318,0.573,0.281,0.076,0.266,0.712,0.4,0.36,0.959,0.11,0.731,0.545,0.966,0.476,0.526
A0010,0.925,0.511,0.939,0.622,0.219,0.272,0.075,0.704,0.118,0.166,0.439,0.099,0.099,0.784,0.834,0.21,0.903,0.0,0.454,0.798
A0011,0.644,0.93,0.432,0.453,0.681,0.168,0.17,0.906,0.085,0.782,0.499,0.372,0.104,0.042,0.949,0.983,0.42,0.513,0.562,0.079
A0012,0.222,0.885,0.887,0.118,0.159,0.238,0.0,0.689,0.067,0.636,0.024,0.358,0.067,0.224,0.088,0.993,0.785,0.429,0.672,0.932
A0013,0.491,0.723,0.255,0.562,0.656,0.038,0.627,0.625,0.645,0.928,0.928,0.923,0.577,0.732,0.991,0.671,0.435,0.351,0.497,0.85
A0014,0.259,0.549,0.33,0.694,0.1,0.258,0.339,0.042,0.43,0.564,0.416,0.92,0.679,0.688,0.964,0.253,0.719,0.288,0.327,0.389
A0015,0.866,0.071,0.697,0.936,0.928,0.918,0.981,0.022,0.7,0.743,0.43,0.813,0.482,0.667,0.43,0.479,0.688,0.24,0.497,0.302
