student_id,hours_studied,exam_score,study_habit,attendance
S001,,,,97
S002,,,Poor,
S003,,,Average,77
S004,,,Good,
S005,,,,
S006,,,Average,
S007,,,Average,
S008,1.7,14,,
S009,2.6,24,Poor,97
S010,0.9,9,Good,
S011,,,Average,
S012,,,,
S013,,,Poor,65
S014,,,Good,83
S015,9.8,100,,
S016,8.3,96,Poor,62
S017,,,,50
S018,8.8,73,Poor,82
S019,6.0,62,,90
S020,,,,82
S021,,,Good,
S022,,,,84
S023,,,Good,
S024,4.7,47,Average,73
S025,9.2,98,Good,
S026,,,Average,74
S027,7.6,61,,
S028,,,Poor,
S029,,,,
S030,4.8,41,,
S031,,,Good,
S032,,,Average,
S033,7.0,59,Good,
S034,,,Average,62
S035,,,,
S036,5.8,47,Poor,74
S037,8.9,78,Poor,62
S038,8.9,81,Poor,
S039,1.4,15,Poor,59
S040,,,Poor,95
S041,,,Average,77
S042,,,Average,
S043,,,,
S044,,,Average,
S045,,,Good,
S046,9.2,100,Good,63
S047,5.2,58,Average,59
S048,,,Average,
S049,,,Average,
S050,1.2,10,Poor,65
S051,,,Poor,
S052,3.9,39,,
S053,,,,
S054,3.6,41,Good,83
S055,2.9,27,Poor,78
S056,5.6,47,Good,
S057,,,Average,
S058,,,Poor,68
S059,1.1,9,,68
S060,,,Good,
S061,3.6,37,,
S062,,,Average,
S063,6.0,71,,62
S064,0.6,5,Good,91
S065,,,,
S066,,,,74
S067,4.4,40,Good,87
S068,8.7,99,Good,
S069,,,,
S070,,,Good,
S071,,,,
S072,,,Poor,
S073,6.2,64,,
S074,,,,
S075,0.1,0,,
S076,,,Poor,
S077,,,,
S078,,,Average,
S079,,,Good,
S080,1.6,18,,
S081,,,Good,54
S082,,,Average,
S083,,,Average,
S084,,,Good,
S085,,,Average,
S086,,,,
S087,3.9,43,,87
S088,3.4,30,Good,
S089,,,Average,88
S090,,,Good,
S091,,,Good,
S092,,,Good,82
S093,,,Average,
S094,,,,58
S095,,,Average,52
S096,,,Good,
S097,,,Good,
S098,,,,69
S099,6.4,74,Poor,
S100,,,Poor,
S101,9.7,100,,62
S102,,,Average,53
S103,5.8,65,Good,69
S104,,,Average,
S105,3.1,31,Average,69
S106,,,,
S107,,,,
S108,1.5,13,Good,75
S109,5.0,42,,60
S110,6.3,70,Average,88
S111,,,,
S112,8.4,80,Poor,
S113,,,Average,
S114,1.9,15,,61
S115,,,,
S116,,,,53
S117,,,,
S118,,,,
S119,,,Poor,72
S120,,,Poor,
S121,3.5,29,Good,100
S122,,,,
S123,1.3,10,,
S124,2.9,32,,
S125,,,,
S126,6.9,73,Average,
S127,1.2,11,,69
S128,2.4,26,,
S129,1.8,15,Average,84
S130,,,,
S131,,,Average,71
S132,2.4,26,,88
S133,,,Good,
S134,,,,64
S135,,,,59
S136,,,,
S137,,,,85
S138,,,Average,
S139,1.7,19,,
S140,,,Average,
S141,,,Good,97
S142,,,Poor,
S143,,,,
S144,,,,
S145,,,Average,
S146,8.6,75,,
S147,,,Poor,
S148,,,,65
S149,,,Average,80
S150,,,Good,
S151,3.1,36,,
S152,3.1,26,Poor,73
S153,,,,
S154,0.9,7,Poor,
S155,8.3,91,Poor,
S156,4.3,44,Average,
S157,9.7,79,Good,
S158,,,Average,
S159,0.4,3,,
S160,,,Poor,94
S161,,,Good,
S162,4.0,44,Average,
S163,,,,
S164,3.8,40,Good,97
S165,6.8,66,,
S166,,,,
S167,,,,77
S168,,,Poor,
S169,,,Poor,
S170,,,Good,76
S171,6.6,53,,
S172,,,,
S173,,,Good,
S174,6.6,55,Average,
S175,,,,99
S176,,,,
S177,,,,
S178,3.1,32,Poor,
S179,,,Average,
S180,,,Average,
S181,,,,
S182,,,,
S183,,,,
S184,,,Poor,89
S185,,,,57
S186,4.5,37,,
S187,,,Good,89
S188,,,,
S189,,,,93
S190,3.1,33,Average,
S191,,,Average,52
S192,,,Average,
S193,,,Poor,65
S194,,,,
S195,,,,
S196,,,Good,97
S197,,,,
S198,,,Poor,
S199,,,Good,
S200,,,,
S201,,,Poor,
S202,10.0,100,,69
S203,,,,92
S204,,,Poor,
S205,,,Average,98
S206,,,,
S207,4.7,49,Good,
S208,9.7,100,,
S209,,,Good,
S210,,,Good,
S211,,,Poor,60
S212,5.7,58,,
S213,,,Poor,
S214,5.9,68,Average,61
S215,6.5,60,Average,68
S216,8.2,97,Average,95
S217,,,Average,
S218,,,Average,69
S219,,,Good,
S220,,,,
S221,,,,82
S222,8.8,77,Poor,
S223,1.5,12,Average,
S224,,,,62
S225,3.0,24,Average,84
S226,1.2,12,Good,73
S227,7.9,64,Poor,
S228,,,Poor,
S229,6.4,58,Good,56
S230,9.0,78,,
S231,,,Poor,94
S232,,,Poor,
S233,8.2,96,Good,98
S234,,,Average,
S235,,,,
S236,,,Average,
S237,3.9,34,,61
S238,,,Good,63
S239,2.9,26,Poor,
S240,,,Average,
S241,,,,
S242,,,Good,
S243,,,Poor,
S244,,,Average,
S245,,,Average,
S246,7.3,81,,
S247,3.1,30,Good,
S248,0.5,5,Poor,
S249,,,,
S250,,,,
S251,7.0,66,Good,
S252,,,Poor,
S253,,,,
S254,2.4,26,Poor,52
S255,,,,
S256,,,Poor,89
S257,0.5,4,,
S258,,,Poor,77
S259,,,Average,
S260,7.4,62,Average,
S261,,,Average,72
S262,,,,
S263,6.5,59,Poor,57
S264,5.1,41,Poor,
S265,1.4,16,Average,79
S266,,,Poor,52
S267,,,Good,98
S268,,,,
S269,,,,67
S270,2.7,29,Poor,74
S271,,,,86
S272,,,Poor,
S273,,,,
S274,,,Poor,89
S275,0.7,5,,
S276,7.2,59,Average,95
S277,2.8,28,Poor,
S278,,,Average,91
S279,,,,
S280,,,Good,
S281,9.6,97,Poor,62
S282,,,,96
S283,,,,55
S284,,,,
S285,,,Average,
S286,4.4,51,Good,
S287,,,,
S288,2.5,27,Good,
S289,,,Average,
S290,,,Good,90
S291,,,Good,
S292,,,,51
S293,1.2,12,,
S294,8.8,93,,
S295,,,,
S296,,,,
S297,,,,
S298,,,,
S299,,,Average,
S300,,,Poor,
S301,6.5,66,,87
S302,8.8,93,Good,
